date,usd_to_ngn_rate,ngn_to_usd_rate
2022-05-19,414.62,0.0024118469924268005
2022-05-20,414.62,0.0024118469924268005
2022-05-23,414.58,0.0024120796951131265
2022-05-24,414.68,0.0024114980225716214
2022-05-25,414.68,0.0024114980225716214
2022-05-26,414.72,0.0024112654320987653
2022-05-27,414.72,0.0024112654320987653
2022-05-30,414.72,0.0024112654320987653
2022-05-31,414.7,0.0024113817217265494
2022-06-01,414.65,0.002411672494875196
2022-06-02,414.58,0.0024120796951131265
2022-06-03,414.62,0.0024118469924268005
2022-06-06,414.62,0.0024118469924268005
2022-06-07,414.63,0.0024117888237705906
2022-06-08,414.63,0.0024117888237705906
2022-06-09,414.63,0.0024117888237705906
2022-06-10,414.63,0.0024117888237705906
2022-06-13,414.63,0.0024117888237705906
2022-06-14,414.63,0.0024117888237705906
2022-06-15,414.72,0.0024112654320987653
2022-06-16,414.79,0.002410858506714241
2022-06-17,414.87,0.0024103936172777014
2022-06-20,414.87,0.0024103936172777014
2022-06-21,414.75,0.0024110910186859553
2022-06-22,414.64,0.0024117306579201237
2022-06-23,414.59,0.002412021515231916
2022-06-24,414.49,0.002412603440372506
2022-06-27,414.5,0.0024125452352231603
2022-06-28,414.64,0.0024117306579201237
2022-06-29,414.6,0.00241196333815726
2022-06-30,414.77,0.0024109747570942933
2022-07-01,414.77,0.0024109747570942933
2022-07-04,414.77,0.0024109747570942933
2022-07-05,414.8,0.0024108003857280617
2022-07-06,414.82,0.0024106841521623836
2022-07-07,414.82,0.0024106841521623836
2022-07-08,414.8,0.0024108003857280617
2022-07-11,414.83,0.0024106260395824796
2022-07-12,414.82,0.0024106841521623836
2022-07-13,414.82,0.0024106841521623836
2022-07-14,414.83,0.0024106260395824796
2022-07-15,414.9,0.0024102193299590266
2022-07-18,414.9,0.0024102193299590266
2022-07-19,414.9,0.0024102193299590266
2022-07-20,414.9,0.0024102193299590266
2022-07-21,414.9,0.0024102193299590266
2022-07-22,414.22,0.002414176041716962
2022-07-25,414.75,0.0024110910186859553
2022-07-26,414.75,0.0024110910186859553
2022-07-27,415.14,0.002408825938237703
2022-07-28,414.96,0.0024098708309234626
2022-07-29,415.37,0.002407492115463322
2022-08-01,415.68,0.002405696689761355
2022-08-02,415.9,0.00240442414041837
2022-08-03,416.19,0.002402748744563781
2022-08-04,416.69,0.0023998656075259785
2022-08-05,417.07,0.002397679046682811
2022-08-08,417.47,0.002395381704074544
2022-08-09,417.47,0.002395381704074544
2022-08-10,418.19,0.002391257562352041
2022-08-11,418.37,0.002390228744890886
2022-08-12,418.72,0.0023882307986243787
2022-08-15,418.89,0.0023872615722504717
2022-08-16,418.89,0.0023872615722504717
2022-08-17,419.96,0.0023811791599199924
2022-08-18,419.83,0.0023819164900078602
2022-08-19,419.83,0.0023819164900078602
2022-08-22,420.4,0.002378686964795433
2022-08-23,420.71,0.0023769342302298498
2022-08-24,421.08,0.002374845635033723
2022-08-25,421.39,0.00237309855478298
2022-08-26,421.7,0.0023713540431586438
2022-08-29,421.7,0.0023713540431586438
2022-08-30,422.38,0.0023675363416828447
2022-08-31,421.38,0.0023731548720869523
2022-09-01,422.46,0.00236708800833215
2022-09-02,422.92,0.0023645133831457486
2022-09-05,422.92,0.0023645133831457486
2022-09-06,425.28,0.0023513920240782545
2022-09-07,425.61,0.0023495688541152696
2022-09-08,426.43,0.002345050770349178
2022-09-09,426.76,0.002343237416815072
2022-09-12,427.1,0.002341372044017794
2022-09-13,427.51,0.00233912657013871
2022-09-14,427.81,0.00233748626726818
2022-09-15,428.11,0.002335848263296816
2022-09-16,428.38,0.002334376021289509
2022-09-19,428.68,0.0023327423719324437
2022-09-20,429.01,0.002330947996550197
2022-09-21,429.37,0.002328993641847358
2022-09-22,429.71,0.0023271508691908496
2022-09-23,430.05,0.002325311010347634
2022-09-26,430.48,0.0023229882921390077
2022-09-27,430.83,0.0023211011303762505
2022-09-28,430.83,0.0023211011303762505
2022-09-29,431.54,0.0023172822913287297
2022-09-30,431.87,0.0023155116122907356
2022-10-03,431.85,0.002315618849137432
2022-10-04,431.87,0.0023155116122907356
2022-10-05,431.87,0.0023155116122907356
2022-10-06,432.9,0.00231000231000231
2022-10-07,433.22,0.0023082960158810764
2022-10-10,433.78,0.002305316058831666
2022-10-11,433.78,0.002305316058831666
2022-10-12,434.27,0.0023027149008681236
2022-10-13,434.7,0.002300437083045779
2022-10-14,434.68,0.002300542928131039
2022-10-17,435.06,0.0022985335356042846
2022-10-18,435.85,0.002294367328209246
2022-10-19,435.98,0.0022936831964769024
2022-10-20,436.11,0.002292999472610121
2022-10-21,436.11,0.002292999472610121
2022-10-24,436.5,0.002290950744558992
2022-10-25,436.68,0.0022900064120179534
2022-10-26,436.55,0.0022906883518497307
2022-10-27,437.16,0.0022874919937780217
2022-10-28,437.5,0.002285714285714286
2022-10-31,437.85,0.0022838871759735067
2022-11-01,438.02,0.002283000776220264
2022-11-02,438.37,0.002281178000319365
2022-11-03,438.67,0.002279617936033921
2022-11-04,438.88,0.0022785271600437476
2022-11-07,439.26,0.002276556026043801
2022-11-08,439.53,0.0022751575546606606
2022-11-09,439.79,0.0022738125014211325
2022-11-10,440.13,0.0022720559834594326
2022-11-11,440.46,0.002270353721109749
2022-11-14,440.83,0.0022684481546174262
2022-11-15,441.19,0.002266597157687164
2022-11-16,441.19,0.002266597157687164
2022-11-17,441.85,0.0022632114971144054
2022-11-18,442.16,0.0022616247512212773
2022-11-21,442.49,0.002259938077696671
2022-11-22,442.63,0.0022592232790366673
2022-11-23,442.8,0.002258355916892502
2022-11-24,442.95,0.0022575911502426913
2022-11-25,442.76,0.0022585599421808657
2022-11-28,443.37,0.002255452556555473
2022-11-29,443.44,0.002255096518130976
2022-11-30,443.44,0.002255096518130976
2022-12-01,443.45,0.0022550456646747096
2022-12-02,443.67,0.00225392746861406
2022-12-05,444.04,0.002252049364922079
2022-12-06,444.31,0.002250680830951363
2022-12-07,444.31,0.002250680830951363
2022-12-08,444.47,0.0022498706324386346
2022-12-09,444.47,0.0022498706324386346
2022-12-12,444.65,0.0022489598560665692
2022-12-13,444.81,0.002248150895888132
2022-12-14,444.96,0.0022473930240920533
2022-12-15,444.96,0.0022473930240920533
2022-12-16,444.97,0.002247342517473088
2022-12-19,445.46,0.002244870470973825
2022-12-20,445.46,0.002244870470973825
2022-12-21,445.46,0.002244870470973825
2022-12-22,446.13,0.0022414991146078498
2022-12-23,446.11,0.0022415996054784694
2022-12-26,446.13,0.0022414991146078498
2022-12-27,446.11,0.0022415996054784694
2022-12-28,446.12,0.0022415493589168834
2022-12-29,447.06,0.0022368362188520557
2022-12-30,447.56,0.0022343372955581373
2023-01-02,447.56,0.0022343372955581373
2023-01-03,448.03,0.002231993393299556
2023-01-04,448.49,0.0022297041182635065
2023-01-05,449.01,0.0022271218903810604
2023-01-06,449.53,0.002224545636553734
2023-01-09,449.53,0.002224545636553734
2023-01-10,449.56,0.002224397188361954
2023-01-11,451.08,0.0022169016582424404
2023-01-12,451.61,0.002214299949071101
2023-01-13,452.07,0.0022120468069104344
2023-01-16,452.1,0.002211900022119
2023-01-17,453.06,0.0022072131726482143
2023-01-18,453.06,0.0022072131726482143
2023-01-19,453.06,0.0022072131726482143
2023-01-20,454.54,0.002200026400316804
2023-01-23,454.54,0.002200026400316804
2023-01-24,459.29,0.002177273617975571
2023-01-25,459.45,0.0021765153988464467
2023-01-26,459.76,0.0021750478510527234
2023-01-27,459.76,0.0021750478510527234
2023-01-30,459.89,0.002174433016590924
2023-01-31,460.0,0.002173913043478261
2023-02-01,460.0,0.002173913043478261
2023-02-02,460.02,0.0021738185296291466
2023-02-03,460.02,0.0021738185296291466
2023-02-06,459.18,0.0021777952001393788
2023-02-07,459.9,0.002174385736029572
2023-02-08,459.9,0.002174385736029572
2023-02-09,459.95,0.0021741493640613113
2023-02-10,458.97,0.0021787916421552606
2023-02-13,460.0,0.002173913043478261
2023-02-14,460.04,0.002173724023997913
2023-02-15,460.04,0.002173724023997913
2023-02-16,460.03,0.0021737712757863618
2023-02-17,460.02,0.0021738185296291466
2023-02-20,460.03,0.0021737712757863618
2023-02-21,459.95,0.0021741493640613113
2023-02-22,459.95,0.0021741493640613113
2023-02-23,459.92,0.0021742911810749693
2023-02-24,459.92,0.0021742911810749693
2023-02-27,459.93,0.0021742439066814515
2023-02-28,459.95,0.0021741493640613113
2023-03-01,459.95,0.0021741493640613113
2023-03-02,459.95,0.0021741493640613113
2023-03-03,459.94,0.00217419663434361
2023-03-06,459.94,0.00217419663434361
2023-03-07,459.94,0.00217419663434361
2023-03-08,459.97,0.002174054829662804
2023-03-09,460.0,0.002173913043478261
2023-03-10,460.0,0.002173913043478261
2023-03-13,460.0,0.002173913043478261
2023-03-14,460.01,0.002173865785526402
2023-03-15,460.02,0.0021738185296291466
2023-03-16,459.92,0.0021742911810749693
2023-03-17,459.92,0.0021742911810749693
2023-03-20,459.87,0.0021745275838824015
2023-03-21,459.9,0.002174385736029572
2023-03-22,459.93,0.0021742439066814515
2023-03-23,459.96,0.0021741020958344205
2023-03-24,459.96,0.0021741020958344205
2023-03-27,459.88,0.002174480299208489
2023-03-28,459.83,0.0021747167431442056
2023-03-29,459.8,0.002174858634188778
2023-03-30,459.83,0.0021747167431442056
2023-03-31,459.82,0.002174764038101866
2023-04-03,459.81,0.0021748113351166788
2023-04-04,459.81,0.0021748113351166788
2023-04-05,459.84,0.002174669450243563
2023-04-06,459.81,0.0021748113351166788
2023-04-07,459.81,0.0021748113351166788
2023-04-10,459.81,0.0021748113351166788
2023-04-11,459.81,0.0021748113351166788
2023-04-12,459.81,0.0021748113351166788
2023-04-13,459.91,0.002174338457524298
2023-04-14,459.91,0.002174338457524298
2023-04-17,459.9,0.002174385736029572
2023-04-18,459.89,0.002174433016590924
2023-04-19,460.01,0.002173865785526402
2023-04-20,460.01,0.002173865785526402
2023-04-21,460.01,0.002173865785526402
2023-04-24,460.01,0.002173865785526402
2023-04-25,460.01,0.002173865785526402
2023-04-26,459.95,0.0021741493640613113
2023-04-27,459.95,0.0021741493640613113
2023-04-28,459.95,0.0021741493640613113
2023-05-01,459.85,0.0021746221593998043
2023-05-02,459.79,0.002174905935318297
2023-05-03,459.83,0.0021747167431442056
2023-05-04,459.82,0.002174764038101866
2023-05-05,459.85,0.0021746221593998043
2023-05-08,459.98,0.002174007565546328
2023-05-09,459.92,0.0021742911810749693
2023-05-10,460.04,0.002173724023997913
2023-05-11,460.05,0.002173676774263667
2023-05-12,460.01,0.002173865785526402
2023-05-15,460.01,0.002173865785526402
2023-05-16,460.05,0.002173676774263667
2023-05-17,460.18,0.002173062714589943
2023-05-18,460.34,0.0021723074249467788
2023-05-19,460.32,0.0021724018074383037
2023-05-22,460.29,0.002172543396554346
2023-05-23,460.26,0.0021726850041281017
2023-05-24,460.26,0.0021726850041281017
2023-05-25,460.29,0.002172543396554346
2023-05-26,460.28,0.002172590597027896
2023-05-29,460.23,0.002172826630163179
2023-05-30,460.43,0.002171882805203831
2023-05-31,460.58,0.002171175474401841
2023-06-01,460.74,0.0021704214958544947
2023-06-02,460.92,0.0021695738956868872
2023-06-05,461.05,0.002168962151610454
2023-06-06,461.18,0.002168350752417711
2023-06-07,461.18,0.002168350752417711
2023-06-08,461.67,0.0021660493426040243
2023-06-09,461.9,0.002164970772894566
2023-06-12,461.9,0.002164970772894566
2023-06-13,462.38,0.002162723301180847
2023-06-14,610.2,0.0016388069485414618
2023-06-15,610.5,0.001638001638001638
2023-06-16,655.0,0.0015267175572519084
2023-06-19,650.0,0.0015384615384615385
2023-06-20,689.0,0.001451378809869376
2023-06-21,745.0,0.0013422818791946308
2023-06-22,810.0,0.0012345679012345679
2023-06-23,760.0,0.0013157894736842105
2023-06-26,760.0,0.0013157894736842105
2023-06-27,763.05,0.0013105301094292641
2023-06-28,752.95,0.0013281094362175444
2023-06-29,752.94,0.001328127075198555
2023-06-30,758.77,0.0013179224270859417
2023-07-03,769.88,0.0012989037252558841
2023-07-04,769.88,0.0012989037252558841
2023-07-05,772.0,0.0012953367875647669
2023-07-06,774.0,0.0012919896640826874
2023-07-07,767.0,0.001303780964797914
2023-07-10,786.15,0.001272021878776315
2023-07-11,746.0,0.0013404825737265416
2023-07-12,775.0,0.0012903225806451613
2023-07-13,776.0,0.001288659793814433
2023-07-14,775.0,0.0012903225806451613
2023-07-17,774.673,0.001290867243340093
2023-07-18,771.811,0.0012956539878286263
2023-07-19,781.309,0.001279903341699635
2023-07-20,789.51,0.0012666084026801434
2023-07-21,774.5,0.0012911555842479018
2023-07-24,791.82,0.0012629132883736202
2023-07-25,791.82,0.0012629132883736202
